date,hour,depth,value,variable,siteID
2021-01-02,13,0.3,NA,temperature,SUGG
2021-01-02,13,0.55,NA,temperature,SUGG
2021-01-02,13,0.8,NA,temperature,SUGG
2021-01-02,13,1.05,NA,temperature,SUGG
2021-01-02,14,0.05,NA,temperature,SUGG
2021-01-02,14,0.3,NA,temperature,SUGG
2021-01-02,14,0.55,NA,temperature,SUGG
2021-01-02,14,0.8,NA,temperature,SUGG
2021-01-02,14,1.05,NA,temperature,SUGG
2021-01-02,14,0.05,NA,temperature,SUGG
2021-01-02,14,0.3,NA,temperature,SUGG
2021-01-02,14,0.55,NA,temperature,SUGG
2021-01-02,14,0.8,NA,temperature,SUGG
2021-01-02,14,1.05,NA,temperature,SUGG
2021-01-02,15,0.05,NA,temperature,SUGG
2021-01-02,15,0.3,NA,temperature,SUGG
2021-01-02,15,0.55,NA,temperature,SUGG
2021-01-02,15,0.8,NA,temperature,SUGG
2021-01-02,15,1.05,NA,temperature,SUGG
2021-01-02,15,0.05,NA,temperature,SUGG
2021-01-02,15,0.3,NA,temperature,SUGG
2021-01-02,15,0.55,NA,temperature,SUGG
2021-01-02,15,0.8,NA,temperature,SUGG
2021-01-02,15,1.05,NA,temperature,SUGG
2021-01-02,16,0.05,NA,temperature,SUGG
2021-01-02,16,0.3,NA,temperature,SUGG
2021-01-02,16,0.55,NA,temperature,SUGG
2021-01-02,16,0.8,NA,temperature,SUGG
2021-01-02,16,1.05,NA,temperature,SUGG
2021-01-02,16,0.05,NA,temperature,SUGG
2021-01-02,16,0.3,NA,temperature,SUGG
2021-01-02,16,0.55,NA,temperature,SUGG
2021-01-02,16,0.8,NA,temperature,SUGG
2021-01-02,16,1.05,NA,temperature,SUGG
2021-01-02,17,0.05,NA,temperature,SUGG
2021-01-02,17,0.3,NA,temperature,SUGG
2021-01-02,17,0.55,NA,temperature,SUGG
2021-01-02,17,0.8,NA,temperature,SUGG
2021-01-02,17,1.05,NA,temperature,SUGG
2021-01-02,17,0.05,NA,temperature,SUGG
2021-01-02,17,0.3,NA,temperature,SUGG
2021-01-02,17,0.55,NA,temperature,SUGG
2021-01-02,17,0.8,NA,temperature,SUGG
2021-01-02,17,1.05,NA,temperature,SUGG
2021-01-02,18,0.05,NA,temperature,SUGG
2021-01-02,18,0.3,NA,temperature,SUGG
2021-01-02,18,0.55,NA,temperature,SUGG
2021-01-02,18,0.8,NA,temperature,SUGG
2021-01-02,18,1.05,NA,temperature,SUGG
2021-01-02,18,0.05,NA,temperature,SUGG
2021-01-02,18,0.3,NA,temperature,SUGG
2021-01-02,18,0.55,NA,temperature,SUGG
2021-01-02,18,0.8,NA,temperature,SUGG
2021-01-02,18,1.05,NA,temperature,SUGG
2021-01-02,19,0.05,NA,temperature,SUGG
2021-01-02,19,0.3,NA,temperature,SUGG
2021-01-02,19,0.55,NA,temperature,SUGG
2021-01-02,19,0.8,NA,temperature,SUGG
2021-01-02,19,1.05,NA,temperature,SUGG
2021-01-02,19,0.05,NA,temperature,SUGG
2021-01-02,19,0.3,NA,temperature,SUGG
2021-01-02,19,0.55,NA,temperature,SUGG
2021-01-02,19,0.8,NA,temperature,SUGG
2021-01-02,19,1.05,NA,temperature,SUGG
2021-01-02,20,0.05,NA,temperature,SUGG
2021-01-02,20,0.3,NA,temperature,SUGG
2021-01-02,20,0.55,NA,temperature,SUGG
2021-01-02,20,0.8,NA,temperature,SUGG
2021-01-02,20,1.05,NA,temperature,SUGG
2021-01-02,20,0.05,NA,temperature,SUGG
2021-01-02,20,0.3,NA,temperature,SUGG
2021-01-02,20,0.55,NA,temperature,SUGG
2021-01-02,20,0.8,NA,temperature,SUGG
2021-01-02,20,1.05,NA,temperature,SUGG
2021-01-02,21,0.05,NA,temperature,SUGG
2021-01-02,21,0.3,NA,temperature,SUGG
2021-01-02,21,0.55,NA,temperature,SUGG
2021-01-02,21,0.8,NA,temperature,SUGG
2021-01-02,21,1.05,NA,temperature,SUGG
2021-01-02,21,0.05,NA,temperature,SUGG
2021-01-02,21,0.3,NA,temperature,SUGG
2021-01-02,21,0.55,NA,temperature,SUGG
